15:51:27 | bridge | INFO | forwarded=14239 by_leaf={'heartbeat': 7329, 'telemetry': 6910} tb_clients=200
15:51:37 | bridge | INFO | forwarded=14933 by_leaf={'heartbeat': 7676, 'telemetry': 7257} tb_clients=200
15:51:47 | bridge | INFO | forwarded=15599 by_leaf={'heartbeat': 8009, 'telemetry': 7590} tb_clients=200
15:51:56 | bridge | INFO | forwarded=16116 by_leaf={'heartbeat': 8398, 'telemetry': 7718} tb_clients=200
15:52:06 | bridge | INFO | forwarded=16674 by_leaf={'heartbeat': 8721, 'telemetry': 7953} tb_clients=200
15:52:16 | bridge | INFO | forwarded=17475 by_leaf={'heartbeat': 9147, 'telemetry': 8328} tb_clients=200
15:52:26 | bridge | INFO | forwarded=18193 by_leaf={'heartbeat': 9506, 'telemetry': 8687} tb_clients=200
15:52:35 | bridge | INFO | forwarded=18905 by_leaf={'heartbeat': 9862, 'telemetry': 9043} tb_clients=200
15:52:45 | bridge | INFO | forwarded=19621 by_leaf={'heartbeat': 10220, 'telemetry': 9401} tb_clients=200
15:52:55 | bridge | INFO | forwarded=20319 by_leaf={'heartbeat': 10569, 'telemetry': 9750} tb_clients=200
15:53:03 | bridge | INFO | forwarded=21037 by_leaf={'heartbeat': 10928, 'telemetry': 10109} tb_clients=200
15:53:13 | bridge | INFO | forwarded=21747 by_leaf={'heartbeat': 11283, 'telemetry': 10464} tb_clients=200
15:53:23 | bridge | INFO | forwarded=22447 by_leaf={'heartbeat': 11633, 'telemetry': 10814} tb_clients=200
15:53:32 | bridge | INFO | forwarded=23131 by_leaf={'heartbeat': 11975, 'telemetry': 11156} tb_clients=200
15:53:42 | bridge | INFO | forwarded=23847 by_leaf={'heartbeat': 12333, 'telemetry': 11514} tb_clients=200
15:53:52 | bridge | INFO | forwarded=24563 by_leaf={'heartbeat': 12691, 'telemetry': 11872} tb_clients=200
15:54:01 | bridge | INFO | forwarded=25273 by_leaf={'heartbeat': 13046, 'telemetry': 12227} tb_clients=200
15:54:11 | bridge | INFO | forwarded=25953 by_leaf={'heartbeat': 13386, 'telemetry': 12567} tb_clients=200
15:54:21 | bridge | INFO | forwarded=26639 by_leaf={'heartbeat': 13729, 'telemetry': 12910} tb_clients=200
15:54:30 | bridge | INFO | forwarded=27321 by_leaf={'heartbeat': 14070, 'telemetry': 13251} tb_clients=200
15:54:40 | bridge | INFO | forwarded=28013 by_leaf={'heartbeat': 14416, 'telemetry': 13597} tb_clients=200
15:54:50 | bridge | INFO | forwarded=28713 by_leaf={'heartbeat': 14766, 'telemetry': 13947} tb_clients=200
15:55:00 | bridge | INFO | forwarded=29435 by_leaf={'heartbeat': 15127, 'telemetry': 14308} tb_clients=200
15:55:09 | bridge | INFO | forwarded=30141 by_leaf={'heartbeat': 15480, 'telemetry': 14661} tb_clients=200
15:55:19 | bridge | INFO | forwarded=30847 by_leaf={'heartbeat': 15833, 'telemetry': 15014} tb_clients=200
15:55:29 | bridge | INFO | forwarded=31542 by_leaf={'heartbeat': 16180, 'telemetry': 15361, 'response': 1} tb_clients=200
15:55:37 | bridge | INFO | forwarded=32214 by_leaf={'heartbeat': 16516, 'telemetry': 15697, 'response': 1} tb_clients=200
15:55:47 | bridge | INFO | forwarded=32900 by_leaf={'heartbeat': 16859, 'telemetry': 16040, 'response': 1} tb_clients=200
15:55:57 | bridge | INFO | forwarded=33590 by_leaf={'heartbeat': 17204, 'telemetry': 16385, 'response': 1} tb_clients=200
15:56:06 | bridge | INFO | forwarded=34168 by_leaf={'heartbeat': 17617, 'telemetry': 16550, 'response': 1} tb_clients=200
15:56:16 | bridge | INFO | forwarded=34715 by_leaf={'heartbeat': 17937, 'telemetry': 16777, 'response': 1} tb_clients=200
15:56:26 | bridge | INFO | forwarded=35502 by_leaf={'heartbeat': 18360, 'telemetry': 17141, 'response': 1} tb_clients=200
15:56:35 | bridge | INFO | forwarded=36216 by_leaf={'heartbeat': 18717, 'telemetry': 17498, 'response': 1} tb_clients=200
15:56:45 | bridge | INFO | forwarded=36880 by_leaf={'heartbeat': 19049, 'telemetry': 17830, 'response': 1} tb_clients=200
15:56:55 | bridge | INFO | forwarded=37359 by_leaf={'heartbeat': 19417, 'telemetry': 17941, 'response': 1} tb_clients=200
15:57:05 | bridge | INFO | forwarded=37944 by_leaf={'heartbeat': 19756, 'telemetry': 18187, 'response': 1} tb_clients=200
15:57:14 | bridge | INFO | forwarded=38750 by_leaf={'heartbeat': 20184, 'telemetry': 18565, 'response': 1} tb_clients=200
15:57:24 | bridge | INFO | forwarded=39452 by_leaf={'heartbeat': 20534, 'telemetry': 18915, 'response': 3} tb_clients=200
15:57:34 | bridge | INFO | forwarded=40128 by_leaf={'heartbeat': 20872, 'telemetry': 19253, 'response': 3} tb_clients=200
15:57:43 | bridge | INFO | forwarded=40788 by_leaf={'heartbeat': 21201, 'telemetry': 19582, 'response': 5} tb_clients=200
15:57:53 | bridge | INFO | forwarded=41466 by_leaf={'heartbeat': 21540, 'telemetry': 19921, 'response': 5} tb_clients=200
