campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f05-r510 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node mqtt-b01-f07-r705 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f04-r404 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f04-r410 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f05-r517 listening on port 6200
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f05-r517 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f09-r909 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f03-r319 listening on port 6002
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f03-r319 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node mqtt-b01-f07-r707 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:56 | nodes.mqtt_node | ERROR | MQTT node b01-f07-r701 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:49:56 | mqtt.publisher | INFO | MQTT node mqtt-b01-f09-r907 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:56 | mqtt.publisher | INFO | MQTT node mqtt-b01-f03-r308 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node mqtt-b01-f05-r507 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:54 | mqtt.publisher | INFO | MQTT node mqtt-b01-f06-r602 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:54 | mqtt.publisher | INFO | MQTT node mqtt-b01-f02-r207 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:54 | mqtt.publisher | INFO | MQTT node mqtt-b01-f02-r210 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:54 | mqtt.publisher | INFO | MQTT node mqtt-b01-f03-r305 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:54 | mqtt.publisher | INFO | MQTT node mqtt-b01-f05-r508 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node mqtt-b01-f06-r610 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node mqtt-b01-f10-r1004 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node mqtt-b01-f03-r310 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f04-r406 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:55 | nodes.mqtt_node | ERROR | MQTT node b01-f03-r307 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f07-r712 listening on port 6395
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f07-r712 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:55 | coap.node | INFO | CoAP node b01-f02-r214 listening on port 5897
campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f02-r214 connecting to hivemq:1883 (tls=False)
